iter	RMSE
0	2.256956689
1	2.073478199
2	1.903424128
3	1.753551713
4	1.616091498
5	1.490894912
6	1.377380884
7	1.272425397
8	1.177377914
9	1.091655318
10	1.010588356
11	0.9368729411
12	0.8724703312
13	0.8130321081
14	0.7588870348
15	0.7069077484
16	0.6617922729
17	0.6216447342
18	0.5827778374
19	0.5460784823
20	0.5132366803
21	0.4828028477
22	0.4543487875
23	0.4287314736
24	0.4060986918
25	0.3846071943
26	0.3643489244
27	0.3462353948
28	0.3289387929
29	0.3141344796
30	0.2993189035
31	0.2864557596
32	0.2738869362
33	0.2631397605
34	0.2524109141
35	0.2430554508
36	0.2344812939
37	0.2266660185
38	0.219348384
39	0.2125953504
40	0.2064677326
41	0.2006449308
42	0.1954397701
43	0.1906399384
44	0.1863590096
45	0.1822922212
46	0.1786598932
47	0.1753542863
48	0.1723644908
49	0.1695342519
